provider_parent_name,provider_org_name,total_waiting,over_18_weeks,over_52_weeks,over_104_weeks,breach_rate_pct
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,79216.0,34473.0,1847.0,1.0,43.5
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,54965.0,23868.0,986.0,0.0,43.4
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,ALEXANDRA HOSPITAL,778.0,335.0,0.0,0.0,43.1
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,SPIRE CAMBRIDGE LEA HOSPITAL,316.0,135.0,5.0,0.0,42.7
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,OAKS HOSPITAL,1147.0,489.0,16.0,0.0,42.6
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,42670.0,18044.0,788.0,0.0,42.3
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,CORA HEALTH DIAGNOSTICS (FORMERLY HEALTHSHARE DIAGNOSTICS),1912.0,798.0,33.0,0.0,41.7
NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",25029.0,10396.0,326.0,0.0,41.5
NHS DEVON INTEGRATED CARE BOARD,MOUNT STUART HOSPITAL,2312.0,958.0,20.0,0.0,41.4
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,ROWLEY HALL HOSPITAL,2629.0,1088.0,0.0,0.0,41.4
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,OMNES HEALTHCARE LTD,12475.0,5170.0,174.0,10.0,41.4
NHS SUSSEX INTEGRATED CARE BOARD,GORING HALL HOSPITAL,784.0,322.0,0.0,0.0,41.1
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,129221.0,52942.0,3696.0,0.0,41.0
NHS LINCOLNSHIRE INTEGRATED CARE BOARD,LINCOLN PRIVATE HOSPITAL,1126.0,462.0,0.0,0.0,41.0
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,BEACON PARK HOSPITAL,1443.0,592.0,1.0,0.0,41.0
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,113973.0,46626.0,2293.0,0.0,40.9
NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,71049.0,28975.0,1623.0,0.0,40.8
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,CLAREMONT PRIVATE HOSPITAL,2748.0,1117.0,5.0,0.0,40.6
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",SPIRE LEICESTER HOSPITAL,1240.0,504.0,32.0,0.0,40.6
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,65167.0,26442.0,896.0,0.0,40.6
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,541.0,219.0,13.0,0.0,40.5
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,SPIRE HULL AND EAST RIDING HOSPITAL,2525.0,1013.0,0.0,0.0,40.1
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,EAST CHESHIRE NHS TRUST,16269.0,6491.0,338.0,5.0,39.9
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,88592.0,35313.0,276.0,0.0,39.9
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,11860.0,4733.0,279.0,0.0,39.9
NHS SOMERSET INTEGRATED CARE BOARD,"NUFFIELD HEALTH, TAUNTON HOSPITAL",467.0,186.0,4.0,0.0,39.8
NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,THREE SHIRES HOSPITAL,3631.0,1441.0,56.0,0.0,39.7
